"InteractorA","InteractorA_type","Relation","InteractorB","InteractorB_type","DB","DB_type","PMID"
"CUL3","Gene","down-regulates-quantity","MAP1B","Gene","SIGNOR","Signalling-Networks","18680552"
"CUL3","Gene","down-regulates-quantity","MAP1S","Gene","SIGNOR","Signalling-Networks","18680552"
"GAN","Gene","down-regulates-quantity","ATG16L1","Gene","SIGNOR","Signalling-Networks","30770803"
"ZEB2","Gene","up-regulates-activity","CTBP1","Gene","SIGNOR","Signalling-Networks","12743039"
"RHOXF1","Gene","up-regulates-quantity-by-expression","BCL2","Gene","SIGNOR","Signalling-Networks","23317270"
"SP1","Gene","up-regulates-quantity-by-expression","CADM1","Gene","SIGNOR","Signalling-Networks","18794147"
"SP3","Gene","up-regulates-quantity-by-expression","CADM1","Gene","SIGNOR","Signalling-Networks","18794147"
"TP53","Gene","up-regulates-quantity-by-expression","CCNG1","Gene","SIGNOR","Signalling-Networks","7957050"
"TP53","Gene","up-regulates-quantity-by-expression","CCNG1","Gene","SIGNOR","Signalling-Networks","9688532"
"GLI3","Gene","down-regulates-quantity","FGF8","Gene","SIGNOR","Signalling-Networks","12435361"
"ZEB2","Gene","down-regulates-quantity-by-repression","MEOX2","Gene","SIGNOR","Signalling-Networks","20516212"
"ZEB2","Gene","up-regulates-quantity-by-expression","VDR","Gene","SIGNOR","Signalling-Networks","11432806"
"DNMT3A","Gene","down-regulates-quantity-by-repression","DPP6","Gene","SIGNOR","Signalling-Networks","23409053"
"DNMT3B","Gene","down-regulates-quantity-by-repression","DPP6","Gene","SIGNOR","Signalling-Networks","23409053"
"NKX2-2","Gene","up-regulates-quantity-by-expression","ERMN","Gene","SIGNOR","Signalling-Networks","21221725"
"SPI1","Gene","up-regulates-quantity-by-expression","FCRL6","Gene","SIGNOR","Signalling-Networks","12695521"
"TBR1","Gene","down-regulates-quantity-by-repression","FEZF2","Gene","SIGNOR","Signalling-Networks","21228164"
"CREB1","Gene","up-regulates-quantity-by-expression","GDA","Gene","SIGNOR","Signalling-Networks","21715638"
"ZNF292","Gene","up-regulates-quantity-by-expression","GH1","Gene","SIGNOR","Signalling-Networks","10687855"
"REST","Gene","down-regulates-quantity-by-repression","HCN1","Gene","SIGNOR","Signalling-Networks","21905079"
