"InteractorA","InteractorA_type","Relation","InteractorB","InteractorB_type","DB","DB_type","PMID"
"CEBPA","Gene","up-regulates-activity","USF1","Gene","SIGNOR","Signalling-Networks","7862113"
"PRKDC","Gene","up-regulates","USF1","Gene","SIGNOR","Signalling-Networks","19303849"
"MAPK14","Gene","up-regulates-activity","USF1","Gene","SIGNOR","Signalling-Networks","19389701"
"FGF1","Gene","up-regulates","FGFR4","Gene","SIGNOR","Signalling-Networks","1385111"
"FGF4","Gene","up-regulates","FGFR4","Gene","SIGNOR","Signalling-Networks","1385111"
"FGF2","Gene","up-regulates","FGFR4","Gene","SIGNOR","Signalling-Networks","1385111"
"FGF6","Gene","up-regulates","FGFR4","Gene","SIGNOR","Signalling-Networks","1385111"
"FGFR4","Gene","up-regulates","FGFR4","Gene","SIGNOR","Signalling-Networks","18670643"
"FGFR4","Gene","up-regulates-activity","FGFR4","Gene","SIGNOR","Signalling-Networks","8576110"
"PAX3","Gene","up-regulates-quantity-by-expression","FGFR4","Gene","SIGNOR","Signalling-Networks","25211658"
"EHF","Gene","up-regulates-quantity-by-expression","SPRR1B","Gene","SIGNOR","Signalling-Networks","12682075"
"HIF1A","Gene","up-regulates-quantity-by-expression","ALAS2","Gene","SIGNOR","Signalling-Networks","21207956"
"FGF1","Gene","up-regulates","FGFR3","Gene","SIGNOR","Signalling-Networks","22298955"
"FGF2","Gene","up-regulates","FGFR3","Gene","SIGNOR","Signalling-Networks","22298955"
"FGF2","Gene","up-regulates","FGFR3","Gene","SIGNOR","Signalling-Networks","15780951"
"FGFR3","Gene","up-regulates-activity","FGFR3","Gene","SIGNOR","Signalling-Networks","11294897"
"FGFR3","Gene","down-regulates-activity","FGFR3","Gene","SIGNOR","Signalling-Networks","11294897"
"FUS","Gene","down-regulates-quantity-by-repression","HNRNPA2B1","Gene","SIGNOR","Signalling-Networks","28515487"
"DBP","Gene","up-regulates-quantity-by-expression","CYP7A1","Gene","SIGNOR","Signalling-Networks","8617210"
"NCOA1","Gene","up-regulates-quantity-by-expression","CYP7A1","Gene","SIGNOR","Signalling-Networks","16891307"
"PPARGC1A","Gene","up-regulates-quantity-by-expression","CYP7A1","Gene","SIGNOR","Signalling-Networks","16891307"
"SH2B2","Gene","up-regulates","CBL","Gene","SIGNOR","Signalling-Networks","11498022"
"SH2B2","Gene","up-regulates","CBL","Gene","SIGNOR","Signalling-Networks","10854852"
"EGFR","Gene","up-regulates","CBL","Gene","SIGNOR","Signalling-Networks","16829981"
"EGFR","Gene","up-regulates","CBL","Gene","SIGNOR","Signalling-Networks","11823423"
"INSR","Gene","up-regulates-activity","CBL","Gene","SIGNOR","Signalling-Networks","11997497"
"FYN","Gene","up-regulates-activity","CBL","Gene","SIGNOR","Signalling-Networks","9890970"
"HCK","Gene","unknown","CBL","Gene","SIGNOR","Signalling-Networks","10092522"
"PRKCA","Gene","down-regulates-quantity","CBL","Gene","SIGNOR","Signalling-Networks","11024037"
"LTK","Gene","up-regulates","CBL","Gene","SIGNOR","Signalling-Networks","9223670"
"CRK","Gene","up-regulates","CBL","Gene","SIGNOR","Signalling-Networks","8524328"
"GRB2","Gene","up-regulates","CBL","Gene","SIGNOR","Signalling-Networks","11823423"
"PTPRJ","Gene","down-regulates-activity","CBL","Gene","SIGNOR","Signalling-Networks","19836242"
"ERBB4","Gene","up-regulates","CBL","Gene","SIGNOR","Signalling-Networks","16829981"
"ERBB4","Gene","up-regulates","CBL","Gene","SIGNOR","Signalling-Networks","18793634"
"ABI1","Gene","up-regulates","CBL","Gene","SIGNOR","Signalling-Networks","17395426"
"UBASH3B","Gene","down-regulates","CBL","Gene","SIGNOR","Signalling-Networks","15159412"
"SH3KBP1","Gene","up-regulates","CBL","Gene","SIGNOR","Signalling-Networks","24167568"
"LRIG1","Gene","up-regulates","CBL","Gene","SIGNOR","Signalling-Networks","15282549"
"SORBS1","Gene","up-regulates","CBL","Gene","SIGNOR","Signalling-Networks","11001060"
"PTPN22","Gene","down-regulates","CBL","Gene","SIGNOR","Signalling-Networks","10068674"
"SH3GLB1","Gene","up-regulates","CBL","Gene","SIGNOR","Signalling-Networks","11894095"
"PRKAR1A","Gene","down-regulates-activity","PRKACB","Gene","SIGNOR","Signalling-Networks","26687711"
"PRKAR2A","Gene","down-regulates-activity","PRKACB","Gene","SIGNOR","Signalling-Networks","26687711"
"PRKAR1B","Gene","down-regulates-activity","PRKACB","Gene","SIGNOR","Signalling-Networks","26687711"
"PRKAR2B","Gene","down-regulates-activity","PRKACB","Gene","SIGNOR","Signalling-Networks","26687711"
"HOXA7","Gene","down-regulates-quantity-by-repression","TGM1","Gene","SIGNOR","Signalling-Networks","11435435"
"RPS6KA5","Gene","unknown","NR4A1","Gene","SIGNOR","Signalling-Networks","16223362"
"NR3C1","Gene","down-regulates-quantity-by-repression","NR4A1","Gene","SIGNOR","Signalling-Networks","15591535"
"RARA","Gene","down-regulates-quantity-by-repression","NR4A1","Gene","SIGNOR","Signalling-Networks","10772826"
"MAPK1","Gene","up-regulates-activity","NR4A1","Gene","SIGNOR","Signalling-Networks","11883936"
"AKT1","Gene","down-regulates-activity","NR4A1","Gene","SIGNOR","Signalling-Networks","11274386"
"MAPK8","Gene","down-regulates","NR4A1","Gene","SIGNOR","Signalling-Networks","17023523"
"RPS6KA3","Gene","unknown","NR4A1","Gene","SIGNOR","Signalling-Networks","16223362"
"RPS6KA2","Gene","down-regulates-activity","NR4A1","Gene","SIGNOR","Signalling-Networks","11883936"
"CGB","Gene","up-regulates","LHCGR","Gene","SIGNOR","Signalling-Networks","10446903"
"NR2F6","Gene","down-regulates-quantity-by-repression","LHCGR","Gene","SIGNOR","Signalling-Networks","10644740"
"NR2F1","Gene","down-regulates-quantity-by-repression","LHCGR","Gene","SIGNOR","Signalling-Networks","10644740"
"NR2C2","Gene","up-regulates-quantity-by-expression","LHCGR","Gene","SIGNOR","Signalling-Networks","10644740"
"GGCX","Gene","up-regulates-activity","PROZ","Gene","SIGNOR","Signalling-Networks","28125048"
"ELF3","Gene","up-regulates-quantity-by-expression","SPRR1B","Gene","SIGNOR","Signalling-Networks","12682075"
"STAT6","Gene","up-regulates-quantity-by-expression","MRC1","Gene","SIGNOR","Signalling-Networks","20508200"
"CRYAB","Gene","up-regulates-activity","CRYGS","Gene","SIGNOR","Signalling-Networks","20621668"
"HERC2","Gene","down-regulates","XPA","Gene","SIGNOR","Signalling-Networks","20304803"
"ATM","Gene","unknown","XPA","Gene","SIGNOR","Signalling-Networks","16540648"
"ATR","Gene","up-regulates-activity","XPA","Gene","SIGNOR","Signalling-Networks","30327428"
"ATR","Gene","up-regulates","XPA","Gene","SIGNOR","Signalling-Networks","23178497"
"ATR","Gene","up-regulates-activity","XPA","Gene","SIGNOR","Signalling-Networks","16540648"
"ATR","Gene","up-regulates","XPA","Gene","SIGNOR","Signalling-Networks","16540648"
"SIRT1","Gene","up-regulates-activity","XPA","Gene","SIGNOR","Signalling-Networks","30327428"
"MYC","Gene","up-regulates-quantity-by-expression","HNRNPA2B1","Gene","SIGNOR","Signalling-Networks","20010808"
"PMP22","Gene","up-regulates-quantity-by-expression","ITGA6","Gene","SIGNOR","Signalling-Networks","21518455"
"GSK3A","Gene","down-regulates","SFPQ","Gene","SIGNOR","Signalling-Networks","20932480"
"GSK3B","Gene","down-regulates","SFPQ","Gene","SIGNOR","Signalling-Networks","20932480"
"ALK","Gene","down-regulates","SFPQ","Gene","SIGNOR","Signalling-Networks","17537995"
"THRAP3","Gene","down-regulates","SFPQ","Gene","SIGNOR","Signalling-Networks","20932480"
"NUP62","Gene","up-regulates-activity","TUBG1","Gene","SIGNOR","Signalling-Networks","24107630"
"NUMA1","Gene","up-regulates","TUBG1","Gene","SIGNOR","Signalling-Networks","11956313"
"BRSK1","Gene","up-regulates","TUBG1","Gene","SIGNOR","Signalling-Networks","19648910"
"CDK5RAP2","Gene","up-regulates-activity","TUBG1","Gene","SIGNOR","Signalling-Networks","17959831"
"Host translation inhibitor nsp1","Gene","down-regulates-activity","RPS3","Gene","SIGNOR","Signalling-Networks","33188728"
"MAPK1","Gene","up-regulates","RPS3","Gene","SIGNOR","Signalling-Networks","15950189"
"MAPK1","Gene","unknown","RPS3","Gene","SIGNOR","Signalling-Networks","15950189"
"AKT1","Gene","up-regulates-activity","RPS3","Gene","SIGNOR","Signalling-Networks","20605787"
"PPP2CA","Gene","down-regulates","RPS3","Gene","SIGNOR","Signalling-Networks","15950189"
"PRKCD","Gene","up-regulates-activity","RPS3","Gene","SIGNOR","Signalling-Networks","19059439"
"PRKCD","Gene","up-regulates","RPS3","Gene","SIGNOR","Signalling-Networks","19059439"
"MYOG","Gene","up-regulates-quantity-by-expression","MYF6","Gene","SIGNOR","Signalling-Networks","7739551"
"CSRP3","Gene","up-regulates-activity","MYF6","Gene","SIGNOR","Signalling-Networks","9234731"
"MEF2A","Gene","up-regulates-quantity-by-expression","MYF6","Gene","SIGNOR","Signalling-Networks","7739551"
"MEF2C","Gene","up-regulates-quantity-by-expression","MYF6","Gene","SIGNOR","Signalling-Networks","7739551"
"MEF2D","Gene","up-regulates-quantity-by-expression","MYF6","Gene","SIGNOR","Signalling-Networks","7739551"
"PDPK1","Gene","up-regulates","RPS6KB1","Gene","SIGNOR","Signalling-Networks","9445476"
"PDPK1","Gene","up-regulates-activity","RPS6KB1","Gene","SIGNOR","Signalling-Networks","9445476"
"PDPK1","Gene","up-regulates","RPS6KB1","Gene","SIGNOR","Signalling-Networks","19864428"
"CDK1","Gene","up-regulates","RPS6KB1","Gene","SIGNOR","Signalling-Networks","11705993"
"LHB","Gene","up-regulates","LHCGR","Gene","SIGNOR","Signalling-Networks","10446903"
"CDK1","Gene","up-regulates","RPS6KB1","Gene","SIGNOR","Signalling-Networks","12586835"
"CDK1","Gene","up-regulates","RPS6KB1","Gene","SIGNOR","Signalling-Networks","15774499"
"CDK1","Gene","up-regulates","RPS6KB1","Gene","SIGNOR","Signalling-Networks","9271440"
"MAPK3","Gene","up-regulates-activity","RPS6KB1","Gene","SIGNOR","Signalling-Networks","15774499"
"MAPK3","Gene","up-regulates-activity","RPS6KB1","Gene","SIGNOR","Signalling-Networks","14967450"
"MAPK1","Gene","up-regulates","RPS6KB1","Gene","SIGNOR","Signalling-Networks","11705993"
"MAPK1","Gene","up-regulates","RPS6KB1","Gene","SIGNOR","Signalling-Networks","14967450"
"MAPK1","Gene","up-regulates","RPS6KB1","Gene","SIGNOR","Signalling-Networks","7545671"
"MAPK1","Gene","up-regulates","RPS6KB1","Gene","SIGNOR","Signalling-Networks","21035469"
"MAPK1","Gene","up-regulates","RPS6KB1","Gene","SIGNOR","Signalling-Networks","19085255"
"MAPK1","Gene","up-regulates","RPS6KB1","Gene","SIGNOR","Signalling-Networks","15774499"
"MTOR","Gene","up-regulates-activity","RPS6KB1","Gene","SIGNOR","Signalling-Networks","11914378"
"MTOR","Gene","up-regulates-activity","RPS6KB1","Gene","SIGNOR","Signalling-Networks","23486913"
"MTOR","Gene","up-regulates-activity","RPS6KB1","Gene","SIGNOR","Signalling-Networks","10579915"
"MTOR","Gene","up-regulates-activity","RPS6KB1","Gene","SIGNOR","Signalling-Networks","10567431"
"PPP2CA","Gene","down-regulates","RPS6KB1","Gene","SIGNOR","Signalling-Networks","2826472"
"PPP2R5C","Gene","down-regulates","RPS6KB1","Gene","SIGNOR","Signalling-Networks","20444422"
"PHLPP2","Gene","down-regulates-activity","RPS6KB1","Gene","SIGNOR","Signalling-Networks","21986499"
"NEK6","Gene","up-regulates-activity","RPS6KB1","Gene","SIGNOR","Signalling-Networks","12023960"
"MAPK3","Gene","unknown","RPS3","Gene","SIGNOR","Signalling-Networks","15950189"
"SOCS3","Gene","down-regulates-activity","JAK1","Gene","SIGNOR","Signalling-Networks","23454976"
"SOCS1","Gene","down-regulates","JAK1","Gene","SIGNOR","Signalling-Networks","11133764"
"SOCS1","Gene","down-regulates","JAK1","Gene","SIGNOR","Signalling-Networks","23663276"
"EGFR","Gene","up-regulates-activity","JAK1","Gene","SIGNOR","Signalling-Networks","15284024"
"IFNB1","Gene","up-regulates","JAK1","Gene","SIGNOR","Signalling-Networks","10918594"
"PTPRC","Gene","down-regulates-activity","JAK1","Gene","SIGNOR","Signalling-Networks","11201744"
"PTPRC","Gene","up-regulates","JAK1","Gene","SIGNOR","Signalling-Networks","11994288"
"IL2RB","Gene","up-regulates","JAK1","Gene","SIGNOR","Signalling-Networks","24737791"
"IFNGR1","Gene","up-regulates","JAK1","Gene","SIGNOR","Signalling-Networks","17063185"
"IFNGR1","Gene","up-regulates","JAK1","Gene","SIGNOR","Signalling-Networks","15864272"
"IL7R","Gene","up-regulates","JAK1","Gene","SIGNOR","Signalling-Networks","18445337"
"PTPN2","Gene","down-regulates-activity","JAK1","Gene","SIGNOR","Signalling-Networks","15780598"
"PTPN2","Gene","down-regulates-activity","JAK1","Gene","SIGNOR","Signalling-Networks","11909529"
"IL4R","Gene","up-regulates-activity","JAK1","Gene","SIGNOR","Signalling-Networks","23124025"
"IL4R","Gene","up-regulates","JAK1","Gene","SIGNOR","Signalling-Networks","12704343"
"IL6ST","Gene","up-regulates","JAK1","Gene","SIGNOR","Signalling-Networks","23663276"
"IL6ST","Gene","up-regulates","JAK1","Gene","SIGNOR","Signalling-Networks","24710148"
"JAK3","Gene","up-regulates","JAK1","Gene","SIGNOR","Signalling-Networks","17259970"
"JAK3","Gene","up-regulates-activity","JAK1","Gene","SIGNOR","Signalling-Networks","12559972"
"IL15RA","Gene","up-regulates","JAK1","Gene","SIGNOR","Signalling-Networks","30029643"
"IL10RA","Gene","up-regulates-activity","JAK1","Gene","SIGNOR","Signalling-Networks","26260587"
"IL10RA","Gene","up-regulates-activity","JAK1","Gene","SIGNOR","Signalling-Networks","10347215"
"IFNLR1","Gene","up-regulates","JAK1","Gene","SIGNOR","Signalling-Networks","15120645"
"IL22RA1","Gene","up-regulates","JAK1","Gene","SIGNOR","Signalling-Networks","15120645"
"IL31RA","Gene","up-regulates","JAK1","Gene","SIGNOR","Signalling-Networks","18926762"
"IL21R","Gene","up-regulates","JAK1","Gene","SIGNOR","Signalling-Networks","12093291"
"IL20RA","Gene","up-regulates","JAK1","Gene","SIGNOR","Signalling-Networks","15120645"
"PHLPP1","Gene","down-regulates-activity","RPS6KB1","Gene","SIGNOR","Signalling-Networks","21986499"
"LRFN5","Gene","up-regulates-activity","PTPRD","Gene","SIGNOR","Signalling-Networks","27225731"
"PTPRG","Gene","down-regulates-activity","PTPRG","Gene","SIGNOR","Signalling-Networks","25624455"
"EPAS1","Gene","up-regulates-quantity-by-expression","PTPRZ1","Gene","SIGNOR","Signalling-Networks","15833863"
"JUN","Gene","up-regulates-quantity-by-expression","LORICRIN","Gene","SIGNOR","Signalling-Networks","12200429"
"SP1","Gene","up-regulates-quantity-by-expression","LORICRIN","Gene","SIGNOR","Signalling-Networks","12200429"
"SP3","Gene","down-regulates-quantity-by-repression","LORICRIN","Gene","SIGNOR","Signalling-Networks","12200429"
"HOPX","Gene","up-regulates-quantity-by-expression","LORICRIN","Gene","SIGNOR","Signalling-Networks","21256618"
"CDK2","Gene","up-regulates-activity","NFYA","Gene","SIGNOR","Signalling-Networks","12857729"
"RNF4","Gene","up-regulates-activity","NFYA","Gene","SIGNOR","Signalling-Networks","15496512"
"SLBP","Gene","up-regulates-quantity-by-expression","H2BC17","Gene","SIGNOR","Signalling-Networks","19155325"
"SRC","Gene","down-regulates","CFL1","Gene","SIGNOR","Signalling-Networks","19802004"
"PRKCA","Gene","down-regulates","CFL1","Gene","SIGNOR","Signalling-Networks","22855535"
"LIMK1","Gene","down-regulates","CFL1","Gene","SIGNOR","Signalling-Networks","18079118"
"LIMK2","Gene","down-regulates-activity","CFL1","Gene","SIGNOR","Signalling-Networks","11171090"
"ILK","Gene","down-regulates","CFL1","Gene","SIGNOR","Signalling-Networks","18252715"
"TESK1","Gene","down-regulates-activity","CFL1","Gene","SIGNOR","Signalling-Networks","11418599"
"TESK1","Gene","down-regulates-activity","CFL1","Gene","SIGNOR","Signalling-Networks","11294912"
"SSH2","Gene","up-regulates-activity","CFL1","Gene","SIGNOR","Signalling-Networks","14531860"
"SSH3","Gene","up-regulates-activity","CFL1","Gene","SIGNOR","Signalling-Networks","14531860"
"SSH1","Gene","up-regulates-activity","CFL1","Gene","SIGNOR","Signalling-Networks","14531860"
"PDXP","Gene","down-regulates-activity","CFL1","Gene","SIGNOR","Signalling-Networks","15580268"
"ROBO3","Gene","up-regulates-quantity-by-expression","CFL1","Gene","SIGNOR","Signalling-Networks","16226035"
"TESK2","Gene","down-regulates-activity","CFL1","Gene","SIGNOR","Signalling-Networks","11418599"
"ROBO2","Gene","up-regulates-quantity-by-expression","CFL1","Gene","SIGNOR","Signalling-Networks","16226035"
"CREB1","Gene","up-regulates-quantity","BDNF","Gene","SIGNOR","Signalling-Networks","32603820"
"KDM5C","Gene","down-regulates-quantity-by-repression","BDNF","Gene","SIGNOR","Signalling-Networks","31691806"
"MECP2","Gene","down-regulates-quantity-by-repression","BDNF","Gene","SIGNOR","Signalling-Networks","18599437"
"REST","Gene","down-regulates-quantity-by-repression","BDNF","Gene","SIGNOR","Signalling-Networks","21832040"
"ANKRD11","Gene","up-regulates-quantity-by-expression","BDNF","Gene","SIGNOR","Signalling-Networks","29274743"
"OPTN","Gene","up-regulates-quantity-by-expression","BDNF","Gene","SIGNOR","Signalling-Networks","22194658"
"RPS6KB1","Gene","up-regulates","EIF4B","Gene","SIGNOR","Signalling-Networks","15071500"
"AKT1","Gene","up-regulates","EIF4B","Gene","SIGNOR","Signalling-Networks","18836482"
"RPS6KA1","Gene","up-regulates","EIF4B","Gene","SIGNOR","Signalling-Networks","15071500"
"PTK2","Gene","up-regulates-activity","ATP2B4","Gene","SIGNOR","Signalling-Networks","12540962"
"PRKCA","Gene","down-regulates-activity","ITPKA","Gene","SIGNOR","Signalling-Networks","9374536"
"PRKACA","Gene","up-regulates-activity","ITPKA","Gene","SIGNOR","Signalling-Networks","9374536"
"CAMK2A","Gene","up-regulates","ITPKA","Gene","SIGNOR","Signalling-Networks","9155020"
"SRC","Gene","up-regulates","DGKA","Gene","SIGNOR","Signalling-Networks","17700527"
"MYOG","Gene","down-regulates-quantity-by-destabilization","PAX7","Gene","SIGNOR","Signalling-Networks","17548510"
"NOTCH1","Gene","up-regulates-quantity-by-expression","PAX7","Gene","SIGNOR","Signalling-Networks","22493066"
"RBPJ","Gene","up-regulates","PAX7","Gene","SIGNOR","Signalling-Networks","22493066"
"CARM1","Gene","up-regulates","PAX7","Gene","SIGNOR","Signalling-Networks","22863532"
"CARM1","Gene","up-regulates","PAX7","Gene","SIGNOR","Signalling-Networks","29681515"
"CREB1","Gene","up-regulates-quantity-by-expression","PAX3","Gene","SIGNOR","Signalling-Networks","21902831"
"RAD23B","Gene","down-regulates-activity","PAX3","Gene","SIGNOR","Signalling-Networks","17662948"
"WWTR1","Gene","up-regulates","PAX3","Gene","SIGNOR","Signalling-Networks","16300735"
"RAD21","Gene","down-regulates-activity","GATA2","Gene","SIGNOR","Signalling-Networks","26607380"
"HRAS","Gene","up-regulates-activity","GATA2","Gene","SIGNOR","Signalling-Networks","25056917"
"INS","Gene","down-regulates","GATA2","Gene","SIGNOR","Signalling-Networks","15837948"
"THRA","Gene","down-regulates-activity","GATA2","Gene","SIGNOR","Signalling-Networks","29407449"
"THRB","Gene","down-regulates-activity","GATA2","Gene","SIGNOR","Signalling-Networks","29407449"
"GATA1","Gene","down-regulates-quantity-by-repression","GATA2","Gene","SIGNOR","Signalling-Networks","12432220"
"GATA1","Gene","down-regulates-quantity-by-repression","GATA2","Gene","SIGNOR","Signalling-Networks","21853041"
"SPI1","Gene","down-regulates-quantity-by-repression","GATA2","Gene","SIGNOR","Signalling-Networks","12433372"
"GATA2","Gene","up-regulates-quantity-by-expression","GATA2","Gene","SIGNOR","Signalling-Networks","27545880"
"AKT1","Gene","down-regulates","GATA2","Gene","SIGNOR","Signalling-Networks","15837948"
"MECOM","Gene","up-regulates-quantity-by-expression","GATA2","Gene","SIGNOR","Signalling-Networks","15889140"
"MAPK14","Gene","up-regulates-activity","GATA2","Gene","SIGNOR","Signalling-Networks","25056917"
"MAPK14","Gene","up-regulates","GATA2","Gene","SIGNOR","Signalling-Networks","25056917"
"ZC3H12A","Gene","up-regulates-quantity","GATA2","Gene","SIGNOR","Signalling-Networks","30842549"
"ZFPM1","Gene","down-regulates-quantity-by-repression","GATA2","Gene","SIGNOR","Signalling-Networks","21853041"
"FBXW7","Gene","down-regulates-quantity-by-destabilization","GATA2","Gene","SIGNOR","Signalling-Networks","25670854"
"SMO","Gene","up-regulates-activity","GATA2","Gene","SIGNOR","Signalling-Networks","16399502"
"NANOG","Gene","down-regulates-quantity-by-repression","GATA2","Gene","SIGNOR","Signalling-Networks","15983365"
"GATA3","Gene","up-regulates","GATA3","Gene","SIGNOR","Signalling-Networks","16386358"
"STAT6","Gene","up-regulates","GATA3","Gene","SIGNOR","Signalling-Networks","12947222"
"ARID5B","Gene","up-regulates-quantity-by-expression","GATA3","Gene","SIGNOR","Signalling-Networks","29326336"
"ZNF503","Gene","down-regulates-quantity-by-repression","GATA3","Gene","SIGNOR","Signalling-Networks","28258171"
"ASH2L","Gene","up-regulates","GATA3","Gene","SIGNOR","Signalling-Networks","25258321"
"E2F1","Gene","up-regulates-quantity-by-expression","RRM1","Gene","SIGNOR","Signalling-Networks","14618416"
"TFDP1","Gene","up-regulates-quantity-by-expression","RRM1","Gene","SIGNOR","Signalling-Networks","14618416"
"RRM2B","Gene","up-regulates-activity","RRM1","Gene","SIGNOR","Signalling-Networks","14583450"
"MTA2","Gene","down-regulates-quantity-by-repression","FSHR","Gene","SIGNOR","Signalling-Networks","23086931"
"HDAC1","Gene","down-regulates-quantity-by-repression","FSHR","Gene","SIGNOR","Signalling-Networks","23086931"
"DNMT1","Gene","down-regulates-quantity-by-repression","IL32","Gene","SIGNOR","Signalling-Networks","20889550"
"DNMT3B","Gene","down-regulates-quantity-by-repression","IL32","Gene","SIGNOR","Signalling-Networks","20889550"
"PRKCA","Gene","unknown","GABRR1","Gene","SIGNOR","Signalling-Networks","12175859"
"PRKACA","Gene","unknown","GABRR1","Gene","SIGNOR","Signalling-Networks","12175859"
"MAPK1","Gene","unknown","GABRR1","Gene","SIGNOR","Signalling-Networks","12175859"
"PRKG1","Gene","unknown","GABRR1","Gene","SIGNOR","Signalling-Networks","12175859"
"GSK3A","Gene","down-regulates-activity","FCAR","Gene","SIGNOR","Signalling-Networks","30766540"
"GSK3B","Gene","down-regulates-activity","FCAR","Gene","SIGNOR","Signalling-Networks","30766540"
"PPP2CA","Gene","up-regulates-activity","FCAR","Gene","SIGNOR","Signalling-Networks","30766540"
"CHUK","Gene","down-regulates","CCND1","Gene","SIGNOR","Signalling-Networks","16103118"
"SNAI2","Gene","up-regulates-quantity-by-expression","CCND1","Gene","SIGNOR","Signalling-Networks","21044962"
"MYC","Gene","up-regulates-quantity-by-expression","CCND1","Gene","SIGNOR","Signalling-Networks","12835716"
"GH1","Gene","up-regulates-quantity-by-expression","CCND1","Gene","SIGNOR","Signalling-Networks","15665309"
"ESR1","Gene","up-regulates-quantity-by-expression","CCND1","Gene","SIGNOR","Signalling-Networks","15808510"
"GLI1","Gene","up-regulates-quantity-by-expression","CCND1","Gene","SIGNOR","Signalling-Networks","19860666"
"GLI1","Gene","up-regulates-quantity-by-expression","CCND1","Gene","SIGNOR","Signalling-Networks","23074268"
"GLI3","Gene","up-regulates-quantity-by-expression","CCND1","Gene","SIGNOR","Signalling-Networks","19860666"
"GLI3","Gene","up-regulates-quantity-by-expression","CCND1","Gene","SIGNOR","Signalling-Networks","17419683"
"IMPDH2","Gene","up-regulates-quantity-by-expression","CCND1","Gene","SIGNOR","Signalling-Networks","30518405"
"TCF4","Gene","up-regulates-quantity-by-expression","CCND1","Gene","SIGNOR","Signalling-Networks","20459685"
"TEAD1","Gene","up-regulates-quantity-by-expression","CCND1","Gene","SIGNOR","Signalling-Networks","20153295"
"TEAD1","Gene","up-regulates-quantity-by-expression","CCND1","Gene","SIGNOR","Signalling-Networks","22286761"
"CTNNB1","Gene","up-regulates-quantity-by-expression","CCND1","Gene","SIGNOR","Signalling-Networks","12589056"
"CTNNB1","Gene","up-regulates-quantity-by-expression","CCND1","Gene","SIGNOR","Signalling-Networks","15735151"
"STAT3","Gene","up-regulates-quantity-by-expression","CCND1","Gene","SIGNOR","Signalling-Networks","18177723"
"STAT3","Gene","up-regulates-quantity-by-expression","CCND1","Gene","SIGNOR","Signalling-Networks","16510571"
"GSK3B","Gene","down-regulates","CCND1","Gene","SIGNOR","Signalling-Networks","9832503"
"GSK3B","Gene","down-regulates-quantity-by-destabilization","CCND1","Gene","SIGNOR","Signalling-Networks","23552696"
"GSK3B","Gene","down-regulates","CCND1","Gene","SIGNOR","Signalling-Networks","16504004"
"MECP2","Gene","down-regulates-quantity-by-repression","CCND1","Gene","SIGNOR","Signalling-Networks","15870696"
"SRPK2","Gene","up-regulates-quantity-by-expression","CCND1","Gene","SIGNOR","Signalling-Networks","19592491"
"DYRK1A","Gene","down-regulates","CCND1","Gene","SIGNOR","Signalling-Networks","24119401"
"MAPK14","Gene","up-regulates","CCND1","Gene","SIGNOR","Signalling-Networks","20626350"
"MAPK14","Gene","down-regulates-quantity-by-repression","CCND1","Gene","SIGNOR","Signalling-Networks","8702807"
"MYCT1","Gene","down-regulates-quantity-by-repression","CCND1","Gene","SIGNOR","Signalling-Networks","30283340"
"HDAC2","Gene","up-regulates","CCND1","Gene","SIGNOR","Signalling-Networks","15713663"
"LRRC4","Gene","down-regulates-quantity-by-repression","CCND1","Gene","SIGNOR","Signalling-Networks","25526788"
"CYLD","Gene","up-regulates","CCND1","Gene","SIGNOR","Signalling-Networks","16713561"
"RASSF1","Gene","down-regulates-quantity-by-repression","CCND1","Gene","SIGNOR","Signalling-Networks","12024041"
"LEF1","Gene","up-regulates-quantity-by-expression","CCND1","Gene","SIGNOR","Signalling-Networks","19653274"
"DYRK1B","Gene","down-regulates","CCND1","Gene","SIGNOR","Signalling-Networks","15546868"
"DYRK1B","Gene","down-regulates","CCND1","Gene","SIGNOR","Signalling-Networks","17046823"
"DNMT3A","Gene","down-regulates-quantity-by-repression","CCND1","Gene","SIGNOR","Signalling-Networks","19786833"
"NCOA3","Gene","up-regulates-quantity-by-expression","CCND1","Gene","SIGNOR","Signalling-Networks","15808510"
"PRKACA","Gene","up-regulates","KDELR1","Gene","SIGNOR","Signalling-Networks","14517323"
"IL4","Gene","up-regulates-activity","IL4R","Gene","SIGNOR","Signalling-Networks","18852293"
"IL4","Gene","up-regulates","IL4R","Gene","SIGNOR","Signalling-Networks","10219247"
"IL13","Gene","up-regulates-activity","IL4R","Gene","SIGNOR","Signalling-Networks","19880493"
"NR3C1","Gene","up-regulates-quantity-by-expression","NR2F2","Gene","SIGNOR","Signalling-Networks","14739255"
"TP53","Gene","up-regulates-quantity-by-expression","GADD45A","Gene","SIGNOR","Signalling-Networks","23576563"
"HNRNPU","Gene","up-regulates-quantity-by-stabilization","GADD45A","Gene","SIGNOR","Signalling-Networks","17174306"
"EDN1","Gene","up-regulates","EDNRB","Gene","SIGNOR","Signalling-Networks","16597412"
"EDN3","Gene","up-regulates","EDNRB","Gene","SIGNOR","Signalling-Networks","8086489"
"CSNK2A2","Gene","unknown","EEF1B2","Gene","SIGNOR","Signalling-Networks","8547318"
"CSNK2A1","Gene","unknown","EEF1B2","Gene","SIGNOR","Signalling-Networks","8547318"
"ETS1","Gene","up-regulates-quantity-by-expression","TBXAS1","Gene","SIGNOR","Signalling-Networks","14586398"
